Open,High,Low,Close,Volume,Dividends,Stock Splits
28.753433227539062,28.865097045898438,28.45194125873968,28.474273681640625,183238000,0.0,0.0
28.641768673457978,28.675266455021614,27.951687111573413,28.1169490814209,274780400,0.0,0.0
28.389414800511204,28.55244304991285,28.25541683176115,28.409513473510742,150838800,0.0,0.0
28.413979789156055,28.59487295012784,28.264348957509863,28.29338264465332,131369200,0.0,0.0
28.25988499182182,28.322416469959414,27.554168701171875,27.554168701171875,206620800,0.0,0.0
27.415707059796528,27.889160661047796,27.379973812382463,27.746231079101562,190291600,0.0,0.0
27.819925565676716,27.848957547074246,27.44920254903883,27.52513313293457,158184800,0.0,0.0
27.703797982866327,28.228617663523096,27.692630917889737,28.2219181060791,188398800,0.0,0.0
28.159379203406413,28.248710593495293,27.77302336926475,27.78865623474121,168362400,0.0,0.0
27.8757612953761,27.942760281749532,27.491637408392435,27.748464584350586,162485600,0.0,0.0
27.9226577157252,28.04102110569997,27.735063294751196,27.987422943115234,128880400,0.0,0.0
27.79759564933545,28.476511977725288,27.766329911515612,28.440778732299805,148776000,0.0,0.0
28.50554302710699,28.612739352158854,28.134819989174908,28.14151954650879,140049200,0.0,0.0
28.105789197397314,28.22862010735405,27.909261445321576,28.049957275390625,149316800,0.0,0.0
28.10578654469382,28.26881649126235,27.840027779646462,28.26434898376465,129936000,0.0,0.0
28.12812721943611,28.409520639391616,27.97403224267329,28.38495445251465,160752000,0.0,0.0
28.668576086828708,28.713244353508433,28.275520557103356,28.329118728637695,145460400,0.0,0.0
28.36261416455353,28.427379393486362,28.119187821464017,28.20628547668457,102098400,0.0,0.0
28.23085023371238,28.39164471719168,28.141518829209552,28.313480377197266,115881600,0.0,0.0
28.201816086880648,28.38494469638553,28.163850794339893,28.177249908447266,113476000,0.0,0.0
28.038791230321443,28.17055374519729,27.795363170297176,27.86012840270996,207828000,0.0,0.0
28.043250108365253,28.612734536001735,27.95391871662191,28.496604919433594,188217200,0.0,0.0
28.608274497684626,28.630605218971876,28.288914173119178,28.342514038085938,129740400,0.0,0.0
28.360389314141276,28.780244853265287,28.210760136799017,28.72441291809082,150618000,0.0,0.0
28.652940727044147,29.126394296720928,28.61720748201312,28.958898544311523,183083600,0.0,0.0
29.142027413436796,29.173293149349522,28.860632382512645,29.09512710571289,178103600,0.0,0.0
29.548483853042118,29.731614180501488,29.289422934655136,29.624414443969727,387816800,0.0,0.0
30.028641437076313,30.046504652742044,28.93656921509768,29.15766143798828,475696000,0.0,0.0
29.068335182947152,29.387692168497615,28.652945511304686,28.7288761138916,253544400,0.0,0.0
28.728870229886088,28.728870229886088,27.82216046971891,27.9494571685791,332781600,0.0,0.0
28.161619792405876,29.06163176398269,27.982958672716148,28.79810333251953,234050400,0.0,0.0
28.920936166152686,29.15989843272447,28.644008600797655,28.742273330688477,203953200,0.0,0.0
28.619449354788248,28.686448360289567,28.090163685978677,28.09463119506836,197085600,0.0,0.0
28.26435456160562,28.306787371933314,27.549706567879966,27.918197631835938,288564000,0.0,0.0
27.980981029815805,28.27476343985242,27.81278565963882,28.090869903564453,175763600,0.13,0.0
28.409325085242145,28.62013053894043,28.281496646737725,28.62013053894043,222201600,0.0,0.0
28.568549094369533,28.606672974255993,28.173850078151617,28.328590393066406,168143200,0.0,0.0
28.16712889072679,28.45418216329396,27.99220590969195,28.227680206298828,192640000,0.0,0.0
28.29046577960283,28.523696932639684,28.22767310589522,28.259069442749023,138776800,0.0,0.0
28.57303438501216,28.918394088745117,28.51696925361795,28.918394088745117,180814000,0.0,0.0
28.945309623559844,29.03949863999735,28.75244542172753,28.87803077697754,152832000,0.0,0.0
28.790563131275007,29.31533186262448,28.786076963279395,29.196474075317383,203531600,0.0,0.0
29.30860753376486,29.351217579534275,29.073133306369215,29.169567108154297,178532800,0.0,0.0
29.15387470124168,29.373649106229575,29.005861900722472,29.167329788208008,145819600,0.0,0.0
29.169573081515395,29.519419012399055,29.115749314477668,29.465595245361328,158921600,0.0,0.0
29.51269152082581,29.81992739775114,29.46783667057702,29.723493576049805,182384000,0.0,0.0
29.736946195221503,29.806466408616938,28.956517125116992,29.068647384643555,282790400,0.0,0.0
29.230122077341694,29.6607019641253,29.1650880172417,29.611364364624023,183332800,0.0,0.0
29.570992247071736,29.591174872566278,29.400555484100128,29.553050994873047,122933200,0.0,0.0
29.42971019272997,29.4790477861014,29.131443258964264,29.216663360595703,203538000,0.0,0.0
29.216653075270724,29.46558232803284,29.165074126519833,29.274959564208984,128451200,0.0,0.0
29.122470041101735,29.30187913395638,29.00137087104255,29.1448974609375,134670400,0.0,0.0
29.30188684935407,29.364679535095387,29.131446626389298,29.180784225463867,123934000,0.0,0.0
